XMLType,DigitalCollectionsURLs,UMDM,UMAM,SharestreamURLs,Identifier,FileName,DurationMasters,DurationDerivatives,DigitizationNotes,DigitizedByDept,DigitizedByPers,DateDigitized,PlaybackDevice,AnalogInterface,DigitizationSoftware,Title,AlternateTitle,Creator,CreatorType,Contributor,ContributorType,Provider/Publisher,Provider/PublisherType,Description/Summary,Credits,Department,FedoraCollection,DateAttribute,DateCreated,OriginalBroadcastDate,Century,Language,Accession,Series,Subseries,Box,Item,ArchivalCollection,CopyrightHolder,Rights,RepositoryBrowse,RecordingNotes,Mono/Stereo,TrackFormat,MediaType,FormType,Form,Format,Dimensions,PlaybackSpeed,Continent,Country,Region/State,Settlement/City,FrameRate,ImageResolution (PPI),AspectRatio,TimeStart (timecode),ChannelConfiguration,Color,PreservationNote/PhysicalNote,QANotes,Finished,TopicalSubject,TopicalScheme,GeographicalSubject,GeographicalScheme,CorpSubject,CorpScheme,PersonalSubject,PersonalScheme
UMDM,,UMDM,,,19521018-FB-0001-Navy,,,,,,,,,,,"Football: Maryland (38) vs. Navy (7), October 18, 1952",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the football game between Maryland (38) and Clemson (7) on October 18, 1952",,University Archives,University AlbUM,,1952-10-18,,1901-2000,,2010-152,,,Box 1,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"12""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=d0d8fe937973444,19521018-FB-0001-Navy,19521018-FB-0001-Navy,00:38:12,00:38:12,,,,2015-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:38:12 not 00:38:06; debris and marks around 00:09:30-00:09:50,,,,,,,,,
UMDM,,UMDM,,,19541022-FB-01,,,,,,,,,,,"Football: Maryland (7) vs. Miami (9), October 22, 1954",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the football game between Maryland (7) and Miami (9) on October 22, 1954",,University Archives,University AlbUM,,1954-10-22,,1901-2000,,2012-20,,,Box 1,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=556ac70128b1432,19541022-FB-01,19541022-FB-01,00:11:03,00:11:03,,,,2015-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,total duration is 00:11:03 not 00:10:58; scratched and jumpy in many places but artifacts appear inherent in film; this is the second quarter and part of the third,,,,,,,,,
UMDM,,UMDM,,,19541022-FB-02,,,,,,,,,,,"Football: Maryland (7) vs. Miami (9), October 22, 1954",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the football game between Maryland (7) and Miami (9) on October 22, 1954",,University Archives,University AlbUM,,1954-10-22,,1901-2000,,2012-20,,,Box 1,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=e75d8278076e44d,19541022-FB-02,19541022-FB-02,00:06:38,00:06:38,,,,2015-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,total duration is 00:06:38 not 00:06:35; artifacts appear inherent in film; this is the first quarter,,,,,,,,,
UMDM,,UMDM,,,19541106-FB-1Qtr,,,,,,,,,,,"Football: Maryland (42) vs. NC State (14), November 06, 1954",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the first quarter of the football game between Maryland (42) and NC State (14) on November 06, 1954",,University Archives,University AlbUM,,1954-11-06,,1901-2000,,2012-20,,,Box 1,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=3377c549b27e46e,19541106-FB-1Qtr,19541106-FB-1Qtr,00:12:51,00:12:51,,,,2015-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,total duration is 00:12:51 not 00:12:46; artifacts appear inherent in film; this is the first quarter and part of the second,,,,,,,,,
UMDM,,UMDM,,,19541106-FB-2Qtr,,,,,,,,,,,"Football: Maryland (42) vs. NC State (14), November 06, 1954",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the second quarter of the football game betweenMaryland (42) and NC State (14) on November 06, 1954",,University Archives,University AlbUM,,1954-11-06,,1901-2000,,2012-20,,,Box 1,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=ef4220724af1464,19541106-FB-2Qtr,19541106-FB-2Qtr,00:12:30,00:12:30,,,,2015-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,total duration is 00:12:30 not 00:12:25; artifacts appear inherent in film; this is the rest of the second quarter and part of the third,,,,,,,,,
