XMLType,DigitalCollectionsURLs,UMDM,UMAM,Identifier,DigitizationNotes,DigitizedByDept,DigitizedByPers,DateDigitizedOld,PlaybackDevice,AnalogInterface,DigitizationSoftware,Title,AlternateTitle,Creator,CreatorType,Contributor,ContributorType,Provider/Publisher,Provider/PublisherType,Description/Summary,Credits,FedoraCollection,DateAttribute,DateCreated,OriginalBroadcastDate,Century,Language,Accession,Series,Subseries,Box,Item,ArchivalCollection,Department,CopyrightHolder,RepositoryBrowse,RecordingNotes,Mono/Stereo,TrackFormat,MediaType,FormType,Form,Format,Dimensions,PlaybackSpeed,Continent,Country,Region/State,Settlement/City,Sound,FrameRate,ImageResolution (PPI),AspectRatio,TimeStart (timecode),ChannelConfiguration,Color,PreservationNote/PhysicalNote,QANotes,Finished,TopicalSubject,TopicalScheme,GeographicalSubject,GeographicalScheme,CorpSubject,CorpScheme,PersonalSubject,PersonalScheme,SharestreamURLs,FileName,DurationMasters,DurationDerivatives,DataRate,HorizontalPixels,VerticalPixels,VideoStandard,ScanSignal,newid,DateDigitized,Rights
UMDM,,UMDM,,31430004223188,,,,,,,,Handling marital conflicts,,,,,,,,"Contrasts the development of an argument between each of two couples, showing how a similar disagreement develops into a constructive argument for one couple and a destructive conflict for the other. Outlines comparative elements of constructive and destructive marital conflicts. This film has been digitized because it has a high level
	

foobar glah blsh of Vinegar Syndrome (chemical deterioration). That condition will prevent any captured images from being 100% perfect. Our goal is to present the content of the film in a digital format that is as good and the least distracting as possible.",,Films@UM,,1964,,1901-2000,,,,,,,,Nonprint Media Services,,,,,,moving image,analog,Nonfiction film,16mm,,,,,,,optical,,,,,,Black and white,Vinegar Syndrome,Viewed. Missing 2 sec blank/black/color bars at beginning & end.  Scratches/abrasions/sparkles are probably native artifacts. Sound: Ambient hiss throughout. LS // temporal outlier pixels are inherent to film (ESC),,,,,,,,,,,,,,,,,,,31430004223188,,Access restricted to patrons at the University of Maryland.
UMAM,,,UMAM,31430004223188,Average - SLIGHTLY SHRUNK,Crawford,dc,12/12/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=41702d8826844f2,lms-026124-0001,00:14:12,00:14:12,,,,,,31430004223188,2014-12-12,Access restricted to patrons at the University of Maryland.
UMDM,,UMDM,,31430004223568,,,,,,,,Action : a philosophical discussion,,,,,,,,A spontaneous philosophical discussion about the meaning of action. This film is suitable for students and beginners in philosophy. This film has been digitized because it has a high level of Vinegar Syndrome (chemical deterioration). That condition will prevent any captured images from being 100% perfect. Our goal is to present the content of the film in a digital format that is as good and the least distracting as possible.,,Films@UM,,1970,,1901-2000,,,,,,,,Nonprint Media Services,,,,,,moving image,analog,Nonfiction film,16mm,,,,,,,optical,,,,,,Black and white,Vinegar Syndrome,Viewed. Missing 2 sec blank/black/color bars at beginning & end LS // distorted frames 3406-3423 (00:02:22.059-00:02:22.768) produced temporal outlier pixels and fell outside the broadcast range pixels; otherwise looks fine (ESC),,,,,,,,,,,,,,,,,,,31430004223568,,Access restricted to patrons at the University of Maryland.
UMAM,,,UMAM,31430004223568,Good,Crawford,dc,12/12/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=4b23b2ffd4d2412,lms-026099-0001,00:24:39,00:24:39,,,,,,31430004223568,2014-12-12,Access restricted to patrons at the University of Maryland.
UMDM,,UMDM,,31430004223592,,,,,,,,Logical form,,,,,,,,This film was planned to amplify the textbook Introduction to logic (Parts i-ix). Analyzes some logical words and shows by examples that their meaning is defined by their use. The film ends with a discussion of the nature of logical form itself and its use in discovering the real choice behind a canteen menu. This film has been digitized because it has a high level of Vinegar Syndrome (chemical deterioration). That condition will prevent any captured images from being 100% perfect. Our goal is to present the content of the film in a digital format that is as good and the least distracting as possible.,,Films@UM,,1971,,1901-2000,,,,,,,,Nonprint Media Services,,,,,,moving image,analog,Nonfiction film,16mm,,,,,,,optical,,,,,,Black and white,Vinegar Syndrome,Viewed. Missing 2 sec blank/black/color bars at beginning & end.  Scratches/abrasions/sparkles are probably native artifacts.Date on screen is 1971. LS // temporal outlier pixels and pixels too bright or dark for broadcast range are inherent to film (ESC),,,,,,,,,,,,,,,,,,,31430004223592,,Access restricted to patrons at the University of Maryland.
UMAM,,,UMAM,31430004223592,Good,Crawford,jy,12/9/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=9ed640979e5b45e,lms-026127-0001,00:24:14,00:24:14,,,,,,31430004223592,2014-12-9,Access restricted to patrons at the University of Maryland.
UMDM,,UMDM,,31430004223600,,,,,,,,Black Muslims speak from America,,,,,,,,"Presents an interview with seven young Black Muslims. States their beliefs in the evil of the white man, a separate Black state in America and the teachings of Elijah Muhammad. This film has been digitized because it has a high level of Vinegar Syndrome (chemical deterioration). That condition will prevent any captured images from being 100% perfect. Our goal is to present the content of the film in a digital format that is as good and the least distracting as possible.",,Films@UM,,1970,,1901-2000,,,,,,,,Nonprint Media Services,,,,,,moving image,analog,Nonfiction film,16mm,,,,,,,optical,,,,,,Black and white,Vinegar Syndrome,"Viewed.Missing 2 sec blank/black/color bars at beginning & end. Scratches & abrasion may be native artifacts. Cut-through viewing as white dots in center starting aroun 13:30 may have been introduced during transfer? LS Sound has electrical popping throughout. Cat record says 33 min but Crawford transfer notes say 30:55. LS // film appears vertically scratched throughout, particularly from the 13:30 minute mark to the end, but Crawford's transfer process is dry-scan and contact-free, so it's likely native to the recording (ESC)",,,,,,,,,,,,,,,,,,,31430004223600,,Access restricted to patrons at the University of Maryland.
UMAM,,,UMAM,31430004223600,Average - Several tape splices first 400' of reel,Crawford,jy,12/9/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=e87d46217bc7466,lms-026107-0001,00:30:55,00:30:55,,,,,,31430004223600,2014-12-9,Access restricted to patrons at the University of Maryland.
UMDM,,UMDM,,31430004223741,,,,,,,,About Trevelyan,,,,,,,,"Four academic historians discuss the ways in which the discipline of history, as they study and teach it, makes demands which sharply differentiate it from other kinds of history. They relate these points to the virtues and defects of some of the work of the influential historian G.M. Trevelyan. This film has been digitized because it has a high level of Vinegar Syndrome (chemical deterioration). That condition will prevent any captured images from being 100% perfect. Our goal is to present the content of the film in a digital format that is as good and the least distracting as possible.",,Films@UM,,1971,,1901-2000,,,,,,,,Nonprint Media Services,,,,,,moving image,analog,Nonfiction film,16mm,,,,,,,optical,,,,,,Black and white,Vinegar Syndrome,Viewed. Missing 2 sec blank/black/color bars at beginning & end. Film screen has date of 1971. LS Hissing sound with some drops. // looks fine (ESC),,,,,,,,,,,,,,,,,,,31430004223741,,Access restricted to patrons at the University of Maryland.
UMAM,,,UMAM,31430004223741,Good,Crawford,jy/dc,12/11/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=df45a3a2dd5346a,lms-026098-0001,00:24:32,00:24:32,,,,,,31430004223741,2014-12-11,Access restricted to patrons at the University of Maryland.
