UMDM ID,XML Type,collection,series,subseries,box,folder,item,title,date,size,handle,Accession Number,creator,continent,country,region,settlement,umdm pid
1,UMDM,Katherine Anne Porter papers,1,6,57,2,1,"Katherine Anne Porter to Gertrude Beitel, 1950-12-01",1950-12-01,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,New York,New York,
2,UMDM,Katherine Anne Porter papers,1,6,57,2,5,"Katherine Anne Porter to Gertrude Beitel, 1951-09-26",1951-09-26,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,New York,New York,
3,UMDM,Katherine Anne Porter papers,1,6,57,2,7,"Katherine Anne Porter to Gertrude Beitel, 1952-08-14",1952-08-14,5,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",Europe,France,Île-de-France,Paris,Unrue edition: pp. 232-236
4,UMDM,Katherine Anne Porter papers,1,6,57,2,12,"Katherine Anne Porter to Gertrude Beitel, 1953-04-14",1953-04-14,3,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,New York,New York,
5,UMDM,Katherine Anne Porter papers,1,6,57,2,14,"Katherine Anne Porter to Gertrude Beitel, 1955-07-22",1955-07-22,3,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,New York,New York,
6,UMDM,Katherine Anne Porter papers,1,6,57,2,17,"Katherine Anne Porter to Gertrude Beitel, 1955-09-20",1955-09-20,5,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Connecticut,Southbury,Bayley edition: pp. 487-491 (excerpted)
7,UMDM,Katherine Anne Porter papers,1,6,57,2,20,"Katherine Anne Porter to Gertrude Beitel, 1956-01-28",1956-01-28,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Connecticut,Southbury,
8,UMDM,Katherine Anne Porter papers,1,6,57,2,27,"Katherine Anne Porter to Gertrude Beitel, 1956-10-07",1956-10-07,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Connecticut,Southbury,
9,UMDM,Katherine Anne Porter papers,1,6,57,2,29,"Gertrude Beitel to Katherine Anne Porter, 1957-01-08",1957-01-08,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States,Texas,San Antonio,
10,UMDM,Katherine Anne Porter papers,1,6,57,2,30,"Katherine Anne Porter to Gertrude Beitel, 1957-01-10",1957-01-10,3,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Connecticut,Southbury,
