XMLType,DigitalCollectionsURLs,UMDM,UMAM,SharestreamURLs,Identifier,FileName,DurationMasters,DurationDerivatives,DigitizationNotes,DigitizedByDept,DigitizedByPers,DateDigitized,PlaybackDevice,AnalogInterface,DigitizationSoftware,Title,AlternateTitle,Creator,CreatorType,Contributor,ContributorType,Provider/Publisher,Provider/PublisherType,Description/Summary,Department,FedoraCollection,DateAttribute,DateCreated,OriginalBroadcastDate,Century,Language,Accession,ArchivalCollection,Series,Subseries,Box,Item,CopyrightHolder,Rights,RepositoryBrowse,RecordingNotes,Mono/Stereo,TrackFormat,Frequency,MediaType,FormType,Form,Format,Dimensions,PlaybackSpeed,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,QANotes,Finished,TopicalSubject,TopicalScheme,GeographicalSubject,GeographicalScheme,CorpSubject,CorpScheme,PersonalSubject,PersonalScheme
UMDM,,UMDM,,,2282,,,,,,,,,,,"Sylvan Screen on Third Rail Radio, WMUC, January 30, 2005",,,,,,"WMUC (Radio station : College Park, Md.)",corpName,"Sylvan Screen plays live on Third Rail Radio at WMUC at the University of Maryland, January 20, 2005.",UniversityArchives,WMUC Archives,,2005-01-30,2005-01-30,2001-2100,English,,WMUC Collection,"5: Audio Materials, 1960s-2000s",,,,"University of Maryland (College Park, Md.)",Access is restricted to patrons at the University of Maryland.,"Broadcasting, Communications; Performing Arts, Music",,,,,sound,digital,instrumental and vocal music,CD,"5""",,North America,United States,Maryland,College Park,Last track (#8) is 15 seconds in length and is mostly silence,,,,,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=802b759b007f42f,,bcast-035463-0001,00:23:46,00:23:46,8 tracks,DCMR,"Dook, Rachel",2015-05-01,N/A,N/A,CDex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,yes,,,,,,,,
UMDM,,UMDM,,,2283,,,,,,,,,,,"Cigar Box Planetarium on Third Rail Radio, WMUC, March 03, 2002",,,,,,"WMUC (Radio station : College Park, Md.)",corpName,"Cigar Box Planetarium playing live on Third Rail Radio at WMUC at the University of Maryland, March 03, 2002.",UniversityArchives,WMUC Archives,,2002-03-03,2002-03-03,2001-2100,English,,WMUC Collection,"5: Audio Materials, 1960s-2000s",,,,"University of Maryland (College Park, Md.)",Access is restricted to patrons at the University of Maryland.,"Broadcasting, Communications; Performing Arts, Music",,,,,sound,digital,instrumental and vocal music,CD,"5""",,North America,United States,Maryland,College Park,,,,,,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=28feba3bff7c409,,bcast-035465-0001,00:42:55,00:42:55,12 tracks,DCMR,"Dook, Rachel",2015-05-01,N/A,N/A,CDex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,yes,,,,,,,,
UMDM,,UMDM,,,2284,,,,,,,,,,,"Rock the Mic on Third Rail Radio, WMUC, October 22, 2004",,,,,,"WMUC (Radio station : College Park, Md.)",corpName,"Disc two of Rock the Mic playing live on Third Rail Radio at WMUC at the University of Maryland on October 22, 2004.",UniversityArchives,WMUC Archives,,2004-10-22,2004-10-22,2001-2100,English,,WMUC Collection,"5: Audio Materials, 1960s-2000s",,,,"University of Maryland (College Park, Md.)",Access is restricted to patrons at the University of Maryland.,"Broadcasting, Communications; Performing Arts, Music",,,,,sound,digital,instrumental and vocal music,CD,"5""",,North America,United States,Maryland,College Park,,,,,,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=a324ed1869d24aa,,bcast-035464-0001,00:44:39,00:44:39,3 tracks,DCMR,"Dook, Rachel",2015-05-01,N/A,N/A,CDex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,yes,,,,,,,,
UMDM,,UMDM,,,2285,,,,,,,,,,,"Pocket Rockets on Third Rail Radio, WMUC, February 10, 2002",,,,,,"WMUC (Radio station : College Park, Md.)",corpName,"Pocket Rocket plays live on Third Rail Radio at WMUC at the University of Maryland, February 20, 2002.",UniversityArchives,WMUC Archives,,2002-02-10,2002-02-10,2001-2100,English,,WMUC Collection,"5: Audio Materials, 1960s-2000s",,,,"University of Maryland (College Park, Md.)",Access is restricted to patrons at the University of Maryland.,"Broadcasting, Communications; Performing Arts, Music",,,,,sound,digital,instrumental and vocal music,CD,"5""",,North America,United States,Maryland,College Park,,,,,,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=01b092559981429,,bcast-035466-0001,00:35:49,00:35:49,11 tracks,DCMR,"Dook, Rachel",2015-05-01,N/A,N/A,CDex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,yes,,,,,,,,
UMDM,,UMDM,,,2286,,,,,,,,,,,"Chernobyl Kids and Looks Like Rain on Third Rail Radio, WMUC, February 02, 2002",,,,,,"WMUC (Radio station : College Park, Md.)",corpName,"Chernobyl Kids and Looks Like Rain play live on Third Rail Radio at WMUC at the University of Maryland, February 02, 2002.",UniversityArchives,WMUC Archives,,2002-02-02,2002-02-02,2001-2100,English,,WMUC Collection,"5: Audio Materials, 1960s-2000s",,,,"University of Maryland (College Park, Md.)",Access is restricted to patrons at the University of Maryland.,"Broadcasting, Communications; Performing Arts, Music",,,,,sound,digital,instrumental and vocal music,CD,"5""",,North America,United States,Maryland,College Park,,,,,,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=289ee7ff5c484a1,,bcast-035467-0001,00:58:51,00:58:51,18 tracks,DCMR,"Dook, Rachel",2015-05-01,N/A,N/A,CDex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,yes,,,,,,,,
